Part_Number,Springs
90151339,848
620492,693
620492,1137
620492,1222
620492,1220
622050,1828
90261428,1275
90261428,1232
90261428,1205
90261428,1295
90261428,1302
90261428,874
90261428,949
90280568,1316
90280568,1055
90281111,1407
90281111,1396
90281675,792
90281675,798
90281675,796
90281675,791
90281675,792
90281686,952
90285752,1799
90285752,956
90291146,1116
90291146,860
90291146,644
90291147,874
90291147,645
90291147,567
90291147,875
90291147,525
90291147,579
90291147,575
90291147,581
90291147,570
90291147,580
90291147,585
91908219,825
91908219,836
91908219,813
91910515,967
91910515,1171
91910515,975
91910515,970
91910515,805
91910515,973
91910515,963
90151339,714
91960663,2083
91913587,931
90280567,2064
620997,1032
91913587,399
90284462,2170
90284462,1653
90280567,1464
90284462,1669
90280567,1515
90284462,1040
90284462,599
620997,117
90280567,1116
620996,1264
90295989,586
620996,1104
90295989,786
90294368,2099
90280578,1243
90294368,697
622146,888
90294368,949
622146,1158
622146,1165
622127,1707
622146,1156
622127,1239
622146,1152
90294368,853
622146,1167
90281112,954
90280578,980
90281112,918
90281110,966
90281112,696
90281112,949
90281110,942
90281112,935
90281110,966
90281112,960
90281110,975
90281112,941
90285754,1360
90281112,960
90294368,939
90285754,930
90294368,950
90294368,736
90294368,711
90294368,174
90294368,210
707548,2569
90281112,2770
707548,1281
707548,1294
90281112,1023
707548,1290
90285754,920
90281112,1022
90281112,1017
90285754,926
90281112,1010
90285754,922
90281112,1016
90285754,928
90294368,1184
90285754,787
90294368,511
622097,1105
622097,1085
90294368,1155
90295989,505
620627,934
90295989,592
620627,1419
90295989,409
620627,420
90270067,998
620627,922
90270067,419
620627,586
